time;dataset;distribution;seed;#parts;model;lr;num_epoch;hidden_layer_size;batch_size;method;process time
2023-06-20 22:51:03;adult;label skew;6696;8;AdultMLP;0.001;25;24;64;GTG-Shapley;394747.550932109
2023-06-20 22:51:22;bank;label skew;6694;8;BankMLP;0.001;20;8;64;MultiRounds;1613307.309877833
2023-06-20 22:52:47;adult;quantity skew;6695;8;AdultMLP;0.001;25;24;64;MultiRounds;920259.818243668
2023-06-20 23:06:39;bank;label skew;6696;8;BankMLP;0.001;20;8;64;GTG-Shapley;465998.126407474
2023-06-20 23:06:46;bank;quantity skew;6696;8;BankMLP;0.001;20;8;64;GTG-Shapley;468247.049184714
2023-06-20 23:08:04;adult;label skew;6695;8;AdultMLP;0.001;25;24;64;MultiRounds;1222653.294421902
2023-06-20 23:10:04;adult;quantity skew;6696;8;AdultMLP;0.001;25;24;64;MultiRounds;788996.699392186
2023-06-20 23:19:58;bank;quantity skew;6695;8;BankMLP;0.001;20;8;64;MultiRounds;1410264.291253046
2023-06-20 23:20:27;bank;label skew;6695;8;BankMLP;0.001;20;8;64;MultiRounds;1374382.168681767
2023-06-20 23:29:16;adult;label skew;6696;8;AdultMLP;0.001;25;24;64;MultiRounds;1078229.793706986
2023-06-20 23:41:19;bank;quantity skew;6696;8;BankMLP;0.001;20;8;64;MultiRounds;908391.142389678
2023-06-20 23:43:02;bank;label skew;6696;8;BankMLP;0.001;20;8;64;MultiRounds;911173.25930843
2023-06-22 05:39:06;dota2;quantity skew;6694;8;Dota2MLP;0.001;5;4;128;Individual;12106.782288503
2023-06-22 05:39:27;dota2;label skew;6694;8;Dota2MLP;0.001;5;4;128;Individual;13345.73870871
2023-06-22 05:40:14;dota2;quantity skew;6694;8;Dota2MLP;0.001;5;4;128;LeaveOneOut;73553.93847439
2023-06-22 05:40:29;dota2;label skew;6694;8;Dota2MLP;0.001;5;4;128;LeaveOneOut;75337.776559089
2023-06-22 05:40:57;dota2;label skew;6694;8;Dota2MLP;0.001;5;4;128;GTG-Shapley;116017.748557917
2023-06-22 05:41:34;dota2;quantity skew;6694;8;Dota2MLP;0.001;5;4;128;GTG-Shapley;141361.53568832
2023-06-22 05:41:39;dota2;quantity skew;6695;8;Dota2MLP;0.001;5;4;128;Individual;12299.5406874715
2023-06-22 05:42:49;dota2;label skew;6695;8;Dota2MLP;0.001;5;4;128;Individual;12797.893613210501
2023-06-22 05:44:13;dota2;quantity skew;6696;8;Dota2MLP;0.001;5;4;128;Individual;12124.370972659
2023-06-22 05:44:25;dota2;label skew;6695;8;Dota2MLP;0.001;5;4;128;LeaveOneOut;82306.688254993
2023-06-22 05:44:36;dota2;quantity skew;6695;8;Dota2MLP;0.001;5;4;128;LeaveOneOut;84305.69616816
2023-06-22 05:45:59;dota2;label skew;6696;8;Dota2MLP;0.001;5;4;128;Individual;13149.614013275
2023-06-22 05:46:38;dota2;label skew;6695;8;Dota2MLP;0.001;5;4;128;GTG-Shapley;157446.174926395
2023-06-22 05:46:56;dota2;quantity skew;6695;8;Dota2MLP;0.001;5;4;128;GTG-Shapley;159354.044851417
2023-06-22 05:47:54;dota2;label skew;6696;8;Dota2MLP;0.001;5;4;128;LeaveOneOut;79268.971942464
2023-06-22 05:48:27;dota2;quantity skew;6696;8;Dota2MLP;0.001;5;4;128;LeaveOneOut;78339.744577788
2023-06-22 05:51:26;dota2;label skew;6696;8;Dota2MLP;0.001;5;4;128;GTG-Shapley;133314.574941872
2023-06-22 05:52:00;dota2;quantity skew;6696;8;Dota2MLP;0.001;5;4;128;GTG-Shapley;136882.399807847
