time;distribution;dataset;seed;#parts;model;lr;num_epoch;hidden_layer_size;batch_size;value function;method;alpha;x;y;remove topic;num_removed_client
2023-06-15 21:23:39;quantity skew;adult;6696;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.25;26923.0;worst;5.0
2023-06-15 21:23:39;quantity skew;adult;6696;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.375;25990.0;worst;6.0
2023-06-15 21:23:39;quantity skew;adult;6696;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.5;24788.0;worst;0.0
2023-06-15 21:23:39;quantity skew;adult;6696;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.625;21774.0;worst;2.0
2023-06-15 21:23:39;quantity skew;adult;6696;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.75;16059.0;worst;7.0
2023-06-15 21:23:39;quantity skew;adult;6696;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.875;8158.0;worst;1.0
2023-06-15 21:23:39;quantity skew;bank;6696;8;BankMLP;0.001;20;8;64;data_quantity;ShapleyValue;0.35;0.0;40688.0;best;1.0
2023-06-15 21:23:39;quantity skew;bank;6696;8;BankMLP;0.001;20;8;64;data_quantity;ShapleyValue;0.35;0.125;28260.0;best;7.0
2023-06-15 21:23:39;quantity skew;bank;6696;8;BankMLP;0.001;20;8;64;data_quantity;ShapleyValue;0.35;0.25;16242.0;best;2.0
2023-06-15 21:23:39;quantity skew;bank;6696;8;BankMLP;0.001;20;8;64;data_quantity;ShapleyValue;0.35;0.375;7668.0;best;0.0
2023-06-15 21:23:39;quantity skew;bank;6696;8;BankMLP;0.001;20;8;64;data_quantity;ShapleyValue;0.35;0.5;3269.0;best;6.0
2023-06-15 21:23:39;quantity skew;bank;6696;8;BankMLP;0.001;20;8;64;data_quantity;ShapleyValue;0.35;0.625;1582.0;best;5.0
2023-06-15 21:23:39;quantity skew;bank;6696;8;BankMLP;0.001;20;8;64;data_quantity;ShapleyValue;0.35;0.75;287.0;best;3.0
2023-06-15 21:23:39;quantity skew;bank;6696;8;BankMLP;0.001;20;8;64;data_quantity;ShapleyValue;0.35;0.875;24.0;best;4.0
2023-06-15 21:23:39;quantity skew;bank;6696;8;BankMLP;0.001;20;8;64;data_quantity;ShapleyValue;0.35;0.0;40688.0;worst;4.0
2023-06-15 21:23:39;quantity skew;bank;6696;8;BankMLP;0.001;20;8;64;data_quantity;ShapleyValue;0.35;0.125;40664.0;worst;3.0
2023-06-15 21:23:39;quantity skew;bank;6696;8;BankMLP;0.001;20;8;64;data_quantity;ShapleyValue;0.35;0.25;40401.0;worst;5.0
2023-06-15 21:23:39;quantity skew;bank;6696;8;BankMLP;0.001;20;8;64;data_quantity;ShapleyValue;0.35;0.375;39106.0;worst;6.0
2023-06-15 21:23:39;quantity skew;bank;6696;8;BankMLP;0.001;20;8;64;data_quantity;ShapleyValue;0.35;0.5;37419.0;worst;0.0
2023-06-15 21:23:39;quantity skew;bank;6696;8;BankMLP;0.001;20;8;64;data_quantity;ShapleyValue;0.35;0.625;33020.0;worst;2.0
2023-06-15 21:23:39;quantity skew;bank;6696;8;BankMLP;0.001;20;8;64;data_quantity;ShapleyValue;0.35;0.75;24446.0;worst;7.0
2023-06-15 21:23:39;quantity skew;bank;6696;8;BankMLP;0.001;20;8;64;data_quantity;ShapleyValue;0.35;0.875;12428.0;worst;1.0
2023-06-15 21:23:39;quantity skew;adult;6697;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.0;27144.0;best;4.0
2023-06-15 21:23:39;quantity skew;adult;6697;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.125;17987.0;best;3.0
2023-06-15 21:23:39;quantity skew;adult;6697;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.25;10765.0;best;5.0
2023-06-15 21:23:39;quantity skew;adult;6697;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.375;4927.0;best;7.0
2023-06-15 21:23:39;quantity skew;adult;6697;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.5;749.0;best;6.0
2023-06-15 21:23:39;quantity skew;adult;6697;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.625;402.0;best;2.0
2023-06-15 21:23:39;quantity skew;adult;6697;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.75;215.0;best;0.0
2023-06-15 21:23:39;quantity skew;adult;6697;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.875;107.0;best;1.0
2023-06-15 21:23:39;quantity skew;adult;6697;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.0;27144.0;worst;1.0
2023-06-15 21:23:39;quantity skew;adult;6697;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.125;27037.0;worst;0.0
2023-06-15 21:23:39;quantity skew;adult;6697;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.25;26929.0;worst;2.0
2023-06-15 21:23:39;quantity skew;adult;6697;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.375;26742.0;worst;6.0
2023-06-15 21:23:39;quantity skew;adult;6697;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.5;26395.0;worst;7.0
2023-06-15 21:23:39;quantity skew;adult;6697;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.625;22217.0;worst;5.0
2023-06-15 21:23:39;quantity skew;adult;6697;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.75;16379.0;worst;3.0
2023-06-15 21:23:39;quantity skew;adult;6697;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.875;9157.0;worst;4.0
2023-06-15 21:23:39;quantity skew;bank;6697;8;BankMLP;0.001;20;8;64;data_quantity;ShapleyValue;0.35;0.0;40689.0;best;4.0
2023-06-15 21:23:39;quantity skew;bank;6697;8;BankMLP;0.001;20;8;64;data_quantity;ShapleyValue;0.35;0.125;26880.0;best;3.0
2023-06-15 21:23:39;quantity skew;bank;6697;8;BankMLP;0.001;20;8;64;data_quantity;ShapleyValue;0.35;0.25;16019.0;best;5.0
2023-06-15 21:23:39;quantity skew;bank;6697;8;BankMLP;0.001;20;8;64;data_quantity;ShapleyValue;0.35;0.375;7257.0;best;7.0
2023-06-15 21:23:39;quantity skew;bank;6697;8;BankMLP;0.001;20;8;64;data_quantity;ShapleyValue;0.35;0.5;1000.0;best;6.0
2023-06-15 21:23:39;quantity skew;bank;6697;8;BankMLP;0.001;20;8;64;data_quantity;ShapleyValue;0.35;0.625;527.0;best;2.0
