time;distribution;dataset;seed;#parts;model;lr;num_epoch;hidden_layer_size;batch_size;value function;method;alpha;attack_method;attack_arg;x;y;remove topic;num_removed_client
2023-06-24 21:22:50;label skew;tictactoe;6695;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;label flip;0.3;0.875;3.0;best;4.0
2023-06-24 21:22:50;label skew;tictactoe;6695;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;label flip;0.3;0.0;862.0;worst;4.0
2023-06-24 21:22:50;label skew;tictactoe;6695;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;label flip;0.3;0.125;859.0;worst;7.0
2023-06-24 21:22:50;label skew;tictactoe;6695;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;label flip;0.3;0.25;840.0;worst;0.0
2023-06-24 21:22:50;label skew;tictactoe;6695;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;label flip;0.3;0.375;804.0;worst;1.0
2023-06-24 21:22:50;label skew;tictactoe;6695;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;label flip;0.3;0.5;738.0;worst;6.0
2023-06-24 21:22:50;label skew;tictactoe;6695;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;label flip;0.3;0.625;652.0;worst;5.0
2023-06-24 21:22:50;label skew;tictactoe;6695;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;label flip;0.3;0.75;521.0;worst;3.0
2023-06-24 21:22:50;label skew;tictactoe;6695;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;label flip;0.3;0.875;329.0;worst;2.0
2023-06-24 21:22:50;label skew;tictactoe;6695;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;data replication;0.3;0.0;873.0;best;2.0
2023-06-24 21:22:50;label skew;tictactoe;6695;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;data replication;0.3;0.125;544.0;best;3.0
2023-06-24 21:22:50;label skew;tictactoe;6695;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;data replication;0.3;0.25;352.0;best;5.0
2023-06-24 21:22:50;label skew;tictactoe;6695;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;data replication;0.3;0.375;221.0;best;6.0
2023-06-24 21:22:50;label skew;tictactoe;6695;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;data replication;0.3;0.5;135.0;best;1.0
2023-06-24 21:22:50;label skew;tictactoe;6695;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;data replication;0.3;0.625;69.0;best;0.0
2023-06-24 21:22:50;label skew;tictactoe;6695;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;data replication;0.3;0.75;22.0;best;7.0
2023-06-24 21:22:50;label skew;tictactoe;6695;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;data replication;0.3;0.875;3.0;best;4.0
2023-06-24 21:22:50;label skew;tictactoe;6695;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;data replication;0.3;0.0;873.0;worst;4.0
2023-06-24 21:22:50;label skew;tictactoe;6695;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;data replication;0.3;0.125;870.0;worst;7.0
2023-06-24 21:22:50;label skew;tictactoe;6695;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;data replication;0.3;0.25;851.0;worst;0.0
2023-06-24 21:22:50;label skew;tictactoe;6695;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;data replication;0.3;0.375;804.0;worst;1.0
2023-06-24 21:22:50;label skew;tictactoe;6695;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;data replication;0.3;0.5;738.0;worst;6.0
2023-06-24 21:22:50;label skew;tictactoe;6695;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;data replication;0.3;0.625;652.0;worst;5.0
2023-06-24 21:22:50;label skew;tictactoe;6695;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;data replication;0.3;0.75;521.0;worst;3.0
2023-06-24 21:22:50;label skew;tictactoe;6695;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;data replication;0.3;0.875;329.0;worst;2.0
2023-06-24 21:22:50;label skew;tictactoe;6698;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.3;0.0;862.0;best;2.0
2023-06-24 21:22:50;label skew;tictactoe;6698;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.3;0.125;581.0;best;5.0
2023-06-24 21:22:50;label skew;tictactoe;6698;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.3;0.25;425.0;best;7.0
2023-06-24 21:22:50;label skew;tictactoe;6698;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.3;0.375;275.0;best;0.0
2023-06-24 21:22:50;label skew;tictactoe;6698;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.3;0.5;160.0;best;6.0
2023-06-24 21:22:50;label skew;tictactoe;6698;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.3;0.625;95.0;best;3.0
2023-06-24 21:22:50;label skew;tictactoe;6698;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.3;0.75;36.0;best;1.0
2023-06-24 21:22:50;label skew;tictactoe;6698;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.3;0.875;4.0;best;4.0
2023-06-24 21:22:50;label skew;tictactoe;6698;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.3;0.0;862.0;worst;4.0
2023-06-24 21:22:50;label skew;tictactoe;6698;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.3;0.125;858.0;worst;1.0
2023-06-24 21:22:50;label skew;tictactoe;6698;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.3;0.25;826.0;worst;3.0
2023-06-24 21:22:50;label skew;tictactoe;6698;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.3;0.375;767.0;worst;6.0
2023-06-24 21:22:50;label skew;tictactoe;6698;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.3;0.5;702.0;worst;0.0
2023-06-24 21:22:50;label skew;tictactoe;6698;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.3;0.625;587.0;worst;7.0
2023-06-24 21:22:50;label skew;tictactoe;6698;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.3;0.75;437.0;worst;5.0
